name,number,status
PEP Purpose and Guidelines,1,PA
Procedure for Adding New Modules,2,PA
Guidelines for Handling Bug Reports,3,PW
Deprecation of Standard Modules,4,PA
Guidelines for Language Evolution,5,PA
Bug Fix Releases,6,PA
Style Guide for C Code,7,PA
Style Guide for Python Code,8,PA
Sample Plaintext PEP Template,9,PW
Voting Guidelines,10,PA
CPython platform support,11,PA
Sample reStructuredText PEP Template,12,PA
Python Language Governance,13,PA
The Zen of Python,20,IA
Feature Requests,42,PW
Python Unicode Integration,100,SF
Doing Python Releases 101,101,IA
Doing Python Micro Releases,102,IS
Collecting information about git,103,IW
Python 1.6 Release Schedule,160,IF
Python 2.0 Release Schedule,200,IF
Lockstep Iteration,201,SF
List Comprehensions,202,SF
Augmented Assignments,203,SF
Range Literals,204,SR
Weak References,205,SF
Python Advanced Library,206,IW
Rich Comparisons,207,SF
Reworking the Coercion Model,208,SF
Multi-dimensional Arrays,209,SW
Decoupling the Interpreter Loop,210,SR
Adding A New Outer Product Operator,211,SR
Loop Counter Iteration,212,SR
Attribute Access Handlers,213,SD
Extended Print Statement,214,SF
String Interpolation,215,SS
Docstring Format,216,IR
Display Hook for Interactive Use,217,SF
Adding a Built-In Set Object Type,218,SF
Stackless Python,219,SD
"Coroutines, Generators, Continuations",220,IR
Import As,221,SF
Web Library Enhancements,222,SD
Change the Meaning of x Escapes,223,SF
Attribute Docstrings,224,SR
Elementwise/Objectwise Operators,225,SR
Python 2.1 Release Schedule,226,IF
Statically Nested Scopes,227,SF
Reworking Python’s Numeric Model,228,SW
Using Distutils to Build Python,229,SF
Warning Framework,230,SF
__findattr__(),231,SR
Function Attributes,232,SF
Python Online Help,233,SD
Iterators,234,SF
Import on Case-Insensitive Platforms,235,SF
Back to the __future__,236,SF
Unifying Long Integers and Integers,237,SF
Changing the Division Operator,238,SF
Adding a Rational Type to Python,239,SR
Adding a Rational Literal to Python,240,SR
Metadata for Python Software Packages,241,SS
Numeric Kinds,242,SR
Module Repository Upload Mechanism,243,SW
The directive statement,244,SR
Python Interface Syntax,245,SR
Object Adaptation,246,SR
API for Cryptographic Hash Functions,247,IF
Python Database API Specification v1.0,248,IF
Python Database API Specification v2.0,249,IF
